,metric,alpha,lower,upper,mean,median
0,accuracy,95.0,57.42876712328767,68.58560663467206,0.6295373107239226,0.6270004189359029
0,F1 macro average,95.0,57.16966060850495,68.47782368559113,0.6276450268890069,0.6261850861534226
0,F1 weighted average,95.0,57.044563917350075,68.3889601759528,0.6275004329665332,0.6271409171878265
0,F1_concurrency,95.0,54.8613204703045,70.85559131134352,0.6371030899869957,0.643167701863354
0,F1_memory,95.0,59.772189608341364,75.33263671194705,0.6656946504692847,0.6576279996534696
0,F1_other,95.0,63.200629779577156,77.68675755401419,0.7009574735844818,0.6986500997085443
0,F1_semantic,95.0,41.69531953195319,59.19327527818092,0.5068248935152648,0.5021008403361344
