,url
https://github.com/netty/netty/issues/2586,9
https://github.com/orientechnologies/orientdb/issues/7516,5
https://github.com/elastic/elasticsearch/issues/23048,5
https://github.com/google/ExoPlayer/issues/4249,4
https://github.com/elastic/elasticsearch/issues/4927,4
https://github.com/spring-projects/spring-framework/issues/24265,4
https://github.com/netty/netty/issues/2086,4
https://github.com/orientechnologies/orientdb/issues/6380,4
https://github.com/orientechnologies/orientdb/issues/6836,4
https://github.com/orientechnologies/orientdb/issues/6979,4
https://github.com/elastic/elasticsearch/issues/886,3
https://github.com/netty/netty/issues/2662,3
https://github.com/netty/netty/issues/3156,3
https://github.com/netty/netty/issues/2925,3
https://github.com/netty/netty/issues/2677,3
https://github.com/netty/netty/issues/2675,3
https://github.com/netty/netty/issues/2667,3
https://github.com/netty/netty/issues/2589,3
https://github.com/netty/netty/issues/2651,3
https://github.com/netty/netty/issues/3219,3
https://github.com/netty/netty/issues/2519,3
https://github.com/netty/netty/issues/2412,3
https://github.com/eclipse/jetty.project/issues/1047,3
https://github.com/netty/netty/issues/3166,3
https://github.com/netty/netty/issues/3675,3
https://github.com/netty/netty/issues/3662,3
https://github.com/jankotek/mapdb/issues/191,3
https://github.com/netty/netty/issues/3896,3
https://github.com/netty/netty/issues/4110,3
https://github.com/netty/netty/issues/2144,3
https://github.com/thinkaurelius/titan/issues/877,3
https://github.com/netty/netty/issues/4357,3
https://github.com/elastic/elasticsearch/issues/18120,3
https://github.com/elastic/elasticsearch/issues/8396,3
https://github.com/elastic/elasticsearch/issues/8268,3
https://github.com/elastic/elasticsearch/issues/5779,3
https://github.com/elastic/elasticsearch/issues/5766,3
https://github.com/elastic/elasticsearch/issues/4887,3
https://github.com/orientechnologies/orientdb/issues/5279,3
https://github.com/netty/netty/issues/4198,3
https://github.com/netty/netty/issues/3837,3
https://github.com/redisson/redisson/issues/1459,3
https://github.com/netty/netty/issues/2084,3
https://github.com/netty/netty/issues/306,3
https://github.com/netty/netty/issues/469,3
https://github.com/Azure/azure-iot-sdk-java/issues/141,3
https://github.com/netty/netty/issues/768,3
https://github.com/netty/netty/issues/2762,3
https://github.com/netty/netty/issues/1175,3
https://github.com/spring-projects/spring-security/issues/3189,3
https://github.com/netty/netty/issues/2013,3
https://github.com/netty/netty/issues/287,3
https://github.com/hazelcast/hazelcast/issues/15950,2
https://github.com/grpc/grpc-java/issues/2444,2
https://github.com/grpc/grpc-java/issues/5729,2
https://github.com/grpc/grpc-java/issues/6601,2
https://github.com/hazelcast/hazelcast/issues/13272,2
https://github.com/eclipse/hono/issues/2031,2
https://github.com/netty/netty/issues/8616,2
https://github.com/netty/netty/issues/2354,2
https://github.com/netty/netty/issues/7617,2
https://github.com/netty/netty/issues/7583,2
https://github.com/spring-projects/spring-framework/issues/23064,2
https://github.com/google/ExoPlayer/issues/6146,2
https://github.com/netty/netty/issues/7255,2
https://github.com/netty/netty/issues/7194,2
https://github.com/netty/netty/issues/7092,2
https://github.com/netty/netty/issues/7458,2
https://github.com/junit-team/junit5/issues/1578,2
https://github.com/jankotek/mapdb/issues/305,2
https://github.com/spring-projects/spring-framework/issues/24206,2
https://github.com/orientechnologies/orientdb/issues/6958,2
https://github.com/orientechnologies/orientdb/issues/6842,2
https://github.com/spring-projects/spring-security/issues/7299,2
https://github.com/spring-projects/spring-security-oauth/issues/1405,2
https://github.com/spring-projects/spring-framework/issues/23448,2
https://github.com/orientechnologies/orientdb/issues/5817,2
