,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier
0,0,0.600388156714706,0.6014430598854994,0.6077366221195623,0.6079295154185022,0.6079295154185022,0.5968562312312313,0.5974604857314109,"[[34, 5, 5, 11], [13, 39, 3, 3], [3, 2, 46, 6], [12, 7, 19, 19]]",0.5811965811965812,0.6181818181818182,0.5483870967741935,0.7027027027027026,0.6724137931034483,0.7358490566037735,0.7076923076923077,0.8070175438596491,0.6301369863013698,0.3958333333333333,0.3333333333333333,0.48717948717948717,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,1,0.6803508991008992,0.6775729951866315,0.6899323524136586,0.6863636363636364,0.6863636363636364,0.6824244993126872,0.6792214293742423,"[[44, 5, 3, 7], [2, 45, 2, 2], [6, 1, 37, 10], [13, 5, 13, 25]]",0.7096774193548386,0.7457627118644068,0.676923076923077,0.8411214953271029,0.8823529411764706,0.8035714285714286,0.6788990825688074,0.6851851851851852,0.6727272727272727,0.5,0.44642857142857145,0.5681818181818182,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,2,0.6691197159509613,0.6683355664232599,0.6782704160246534,0.6727272727272727,0.6727272727272727,0.6702814742991903,0.6670771209176778,"[[42, 5, 5, 4], [6, 41, 2, 6], [1, 2, 38, 9], [11, 7, 14, 27]]",0.7241379310344827,0.75,0.7,0.7454545454545455,0.7454545454545455,0.7454545454545455,0.6972477064220184,0.76,0.6440677966101694,0.5142857142857143,0.4576271186440678,0.5869565217391305,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,3,0.6818783068783069,0.6857777298953769,0.6837168978562421,0.6832579185520362,0.6832579185520362,0.6800070816067534,0.681774851606217,"[[38, 3, 5, 6], [7, 46, 3, 5], [3, 1, 39, 9], [6, 6, 16, 28]]",0.7169811320754716,0.7307692307692307,0.7037037037037037,0.7863247863247863,0.7540983606557377,0.8214285714285714,0.6782608695652174,0.75,0.6190476190476191,0.5384615384615384,0.5,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,4,0.62265625,0.6204785298398836,0.6372885491216657,0.6331877729257642,0.6331877729257642,0.627164799944787,0.6240542719539568,"[[39, 6, 7, 8], [4, 44, 0, 5], [4, 2, 41, 11], [13, 8, 16, 21]]",0.65,0.65,0.65,0.7787610619469026,0.8301886792452831,0.7333333333333333,0.6721311475409836,0.7068965517241379,0.640625,0.4077669902912621,0.3620689655172414,0.4666666666666667,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,5,0.6723414304993253,0.6750444144549408,0.6762403504206783,0.6755555555555556,0.6755555555555556,0.671165191740413,0.672165191740413,"[[44, 2, 5, 3], [5, 44, 0, 7], [5, 4, 38, 14], [12, 7, 9, 26]]",0.7333333333333333,0.8148148148148148,0.6666666666666666,0.7787610619469025,0.7857142857142857,0.7719298245614035,0.672566371681416,0.6229508196721312,0.7307692307692307,0.5,0.48148148148148145,0.52,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,6,0.6431705353595344,0.6432606431671964,0.6557469211333843,0.6406926406926406,0.6406926406926406,0.6359991733020355,0.6286936535529356,"[[37, 8, 4, 8], [2, 45, 2, 2], [3, 7, 41, 7], [11, 17, 12, 25]]",0.6727272727272728,0.6491228070175439,0.6981132075471698,0.7031250000000001,0.8823529411764706,0.5844155844155844,0.7008547008547009,0.7068965517241379,0.6949152542372882,0.4672897196261682,0.38461538461538464,0.5952380952380952,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,7,0.64021323005698,0.6442786633216321,0.6369644899126031,0.6383928571428571,0.6383928571428571,0.6365394501045958,0.6392328171710486,"[[41, 2, 4, 8], [6, 44, 4, 6], [4, 1, 33, 15], [13, 5, 13, 25]]",0.6890756302521008,0.7454545454545455,0.640625,0.7857142857142856,0.7333333333333333,0.8461538461538461,0.616822429906542,0.6226415094339622,0.6111111111111112,0.45454545454545453,0.44642857142857145,0.46296296296296297,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,8,0.6429997374644284,0.6449923519783964,0.6417738551359242,0.6415929203539823,0.6415929203539823,0.6396905866496321,0.6406709087907906,"[[37, 4, 9, 8], [5, 42, 2, 9], [4, 2, 40, 8], [9, 5, 16, 26]]",0.6548672566371682,0.6379310344827587,0.6727272727272727,0.7567567567567567,0.7241379310344828,0.7924528301886793,0.6611570247933883,0.7407407407407407,0.5970149253731343,0.48598130841121495,0.4642857142857143,0.5098039215686274,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,9,0.6625019884901512,0.6627659765775186,0.6664992335939481,0.6652173913043479,0.6652173913043479,0.6623920504355287,0.6618723233089963,"[[44, 6, 3, 6], [6, 42, 4, 8], [2, 2, 40, 9], [15, 5, 11, 27]]",0.6984126984126985,0.7457627118644068,0.6567164179104478,0.7304347826086957,0.7,0.7636363636363637,0.7207207207207208,0.7547169811320755,0.6896551724137931,0.5,0.46551724137931033,0.54,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
