,Unnamed: 0,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,projects
0,0,0,0.7463541666666667,0.745162037037037,0.708498023715415,0.7111111111111111,0.7111111111111111,0.712156519603328,0.7129910383811092,"[[19, 0, 1, 3], [4, 14, 3, 1], [0, 0, 19, 4], [1, 0, 9, 12]]",0.8085106382978724,0.8260869565217391,0.7916666666666666,0.7777777777777778,0.6363636363636364,1.0,0.6909090909090908,0.8260869565217391,0.59375,0.5714285714285713,0.5454545454545454,0.6,{},Ens. 1,graphhopper_junit5_pinpoint_reactor-core_redisson_spring-boot
0,0,0,0.7626037408646104,0.761007930295627,0.7454710144927535,0.7446808510638298,0.7446808510638298,0.7495467309913068,0.7484224221106477,"[[19, 0, 2, 2], [3, 17, 0, 3], [0, 0, 18, 6], [4, 1, 3, 16]]",0.7755102040816326,0.8260869565217391,0.7307692307692307,0.8292682926829269,0.7391304347826086,0.9444444444444444,0.7659574468085107,0.75,0.782608695652174,0.627450980392157,0.6666666666666666,0.5925925925925926,{},Ens. 5,eylon-ide-eclipse_checkstyle_graphhopper_hazelcast_idea-gitignore_okhttp_redisson_spring-security_spring-security-oauth
0,0,0,0.7717796295098928,0.7695230065400839,0.7336956521739131,0.7340425531914894,0.7340425531914894,0.7354262588345699,0.7343796816902973,"[[18, 0, 3, 2], [2, 15, 4, 2], [1, 0, 22, 1], [1, 1, 8, 14]]",0.8,0.782608695652174,0.8181818181818182,0.7692307692307693,0.6521739130434783,0.9375,0.7213114754098361,0.9166666666666666,0.5945945945945946,0.6511627906976745,0.5833333333333334,0.7368421052631579,{},Ens. 2,elk_exist_pinpoint_pmd_redisson_spring-boot_spring-session
0,0,0,0.7341628959276018,0.7331573655103066,0.6897233201581028,0.6888888888888889,0.6888888888888889,0.6867346938775512,0.6862018140589569,"[[19, 0, 2, 2], [5, 13, 2, 2], [1, 0, 19, 2], [1, 0, 11, 11]]",0.7755102040816326,0.8260869565217391,0.7307692307692307,0.7428571428571429,0.5909090909090909,1.0,0.6785714285714287,0.8636363636363636,0.5588235294117647,0.55,0.4782608695652174,0.6470588235294118,{},Ens. 2,android_exist_guava_idea-gitignore_javacv_junit5_reddeer_redisson_spring-boot
0,0,0,0.7866207184628237,0.7889583217302516,0.7677865612648221,0.7666666666666667,0.7666666666666667,0.7689922653025923,0.7695703440114443,"[[18, 1, 1, 2], [4, 17, 0, 2], [0, 1, 16, 6], [3, 0, 1, 18]]",0.7659574468085107,0.8181818181818182,0.72,0.8095238095238095,0.7391304347826086,0.8947368421052632,0.7804878048780488,0.6956521739130435,0.8888888888888888,0.7200000000000001,0.8181818181818182,0.6428571428571429,{},Ens. 1,eylon-ide-eclipse_checkstyle_closure-compiler_hazelcast_idea-gitignore_reactor-core_redisson_spring-security
0,0,0,0.7103519668737059,0.711826593991634,0.6854166666666667,0.6836734693877551,0.6836734693877551,0.686800468050468,0.6865717898881164,"[[18, 0, 1, 5], [4, 17, 3, 1], [1, 0, 19, 4], [5, 0, 7, 13]]",0.6923076923076924,0.75,0.6428571428571429,0.8095238095238095,0.68,1.0,0.7037037037037038,0.7916666666666666,0.6333333333333333,0.5416666666666667,0.52,0.5652173913043478,{},Ens. 5,ExoPlayer_graphhopper_pinpoint_redisson_spring-boot_spring-session
0,0,0,0.7241748605600599,0.7269999033493725,0.6915760869565217,0.6914893617021277,0.6914893617021277,0.6982654740207593,0.6995749132933033,"[[16, 0, 2, 5], [5, 16, 0, 3], [0, 0, 17, 7], [3, 1, 3, 16]]",0.6808510638297872,0.6956521739130435,0.6666666666666666,0.7804878048780487,0.6666666666666666,0.9411764705882352,0.7391304347826088,0.7083333333333334,0.7727272727272727,0.5925925925925926,0.6956521739130435,0.5161290322580645,{},Ens. 1,HikariCP_async-http-client_checkstyle_grpc-java_jetty.project_junit5_karate_n4js_pinpoint_spring-framework
0,0,0,0.726204177323103,0.7269072653215876,0.7104743083003953,0.7111111111111111,0.7111111111111111,0.7103960766696615,0.7109092875445077,"[[17, 1, 3, 1], [2, 15, 2, 4], [1, 1, 19, 2], [3, 0, 6, 13]]",0.7555555555555555,0.7727272727272727,0.7391304347826086,0.75,0.6521739130434783,0.8823529411764706,0.7169811320754716,0.8260869565217391,0.6333333333333333,0.6190476190476191,0.5909090909090909,0.65,{},Ens. 5,heckstyle_hazelcast_karate_n4js_redisson_requery_spring-session
0,0,0,0.7577573392790784,0.7590073908914489,0.7450592885375493,0.7444444444444445,0.7444444444444445,0.7472656710262755,0.7475444143330323,"[[17, 0, 1, 5], [2, 16, 2, 3], [0, 0, 19, 3], [4, 2, 1, 15]]",0.7391304347826085,0.7391304347826086,0.7391304347826086,0.7804878048780488,0.6956521739130435,0.8888888888888888,0.8444444444444444,0.8636363636363636,0.8260869565217391,0.6249999999999999,0.6818181818181818,0.5769230769230769,{},Ens. 2,ExoPlayer_HikariCP_checkstyle_guava_hazelcast_orientdb_spring-batch_spring-framework_spring-session_take
0,0,0,0.7362637362637363,0.7336286162816775,0.7045833333333333,0.7040816326530612,0.7040816326530612,0.710754716981132,0.7093415479399308,"[[19, 0, 1, 4], [3, 16, 2, 3], [0, 0, 19, 6], [4, 0, 6, 15]]",0.76,0.7916666666666666,0.7307692307692307,0.8,0.6666666666666666,1.0,0.7169811320754718,0.76,0.6785714285714286,0.5660377358490566,0.6,0.5357142857142857,{},Ens. 5,ExoPlayer_druid_junit5_pact-jvm_pinpoint_redisson_speedment_spring-boot
0,0,0,0.7078427087618264,0.7104200946112711,0.68375,0.6836734693877551,0.6836734693877551,0.6806706044395306,0.6818488100253448,"[[19, 1, 1, 4], [4, 15, 3, 3], [0, 0, 21, 3], [3, 0, 9, 12]]",0.7450980392156863,0.76,0.7307692307692307,0.7317073170731707,0.6,0.9375,0.7241379310344829,0.875,0.6176470588235294,0.5217391304347826,0.5,0.5454545454545454,{},Ens. 5,async-http-client_junit5_pinpoint_pulsar_redisson_spring-boot
0,0,0,0.7439021164021165,0.7416915019976245,0.725,0.7244897959183674,0.7244897959183674,0.7293499402663824,0.7280608164595184,"[[19, 1, 1, 3], [3, 17, 2, 2], [0, 0, 19, 6], [3, 0, 6, 16]]",0.7755102040816326,0.7916666666666666,0.76,0.8095238095238096,0.7083333333333334,0.9444444444444444,0.7169811320754718,0.76,0.6785714285714286,0.6153846153846153,0.64,0.5925925925925926,{},Ens. 1,ExoPlayer_druid_junit5_pact-jvm_pinpoint_redisson_speedment_spring-boot
0,0,0,0.7326357466063348,0.730220467892558,0.6915760869565217,0.6914893617021277,0.6914893617021277,0.6930037244076652,0.6918819883917882,"[[18, 0, 3, 2], [4, 14, 3, 2], [1, 0, 20, 3], [3, 0, 8, 13]]",0.7346938775510203,0.782608695652174,0.6923076923076923,0.7567567567567568,0.6086956521739131,1.0,0.6896551724137931,0.8333333333333334,0.5882352941176471,0.5909090909090908,0.5416666666666666,0.65,{},Ens. 5,elk_exist_pinpoint_pmd_redisson_spring-boot_spring-session
0,0,0,0.7359848484848486,0.7351178451178451,0.6976284584980237,0.7,0.7,0.7032979407979407,0.7040976690976692,"[[18, 0, 1, 4], [3, 15, 3, 1], [0, 0, 19, 4], [1, 0, 10, 11]]",0.8,0.782608695652174,0.8181818181818182,0.8108108108108109,0.6818181818181818,1.0,0.6785714285714286,0.8260869565217391,0.5757575757575758,0.5238095238095238,0.5,0.55,{},Ens. 2,graphhopper_junit5_pinpoint_reactor-core_redisson_spring-boot
