,metric,alpha,lower,upper,mean,median,label
0,F1 macro average,95.0,60.63778142589119,73.64875204651305,0.6650803978637408,0.6614511494252875,SVM
0,F1 macro average,95.0,64.01744690616641,77.01661018563593,0.7014989680660431,0.7006747638326585,LRC
0,F1 macro average,95.0,60.56449011577089,75.52768338133245,0.6620068282068623,0.6534776055124893,RFC
0,F1 macro average,95.0,58.68140525440947,73.75233772971997,0.6544493763974952,0.6498135644032301,MNB
0,F1 macro average,95.0,66.66836875334667,79.99287317597434,0.7212148741727332,0.7188431496974537,Ens. 1
0,F1 macro average,95.0,66.258389116237,80.57095616349189,0.7268548844101975,0.7329989603263685,Ens. 2
0,F1 macro average,95.0,66.45632284382285,79.44310803188817,0.7160144772959692,0.7095847978059724,Ens. 5
