,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier
0,0,0.6060606060606061,0.6060606060606061,0.5800000000000001,0.58,0.58,0.5655194547754346,0.5655194547754347,"[[18, 3, 1, 3], [9, 15, 0, 1], [2, 2, 20, 1], [15, 2, 3, 5]]",0.5217391304347826,0.72,0.4090909090909091,0.6382978723404256,0.6,0.6818181818181818,0.816326530612245,0.8,0.8333333333333334,0.28571428571428575,0.2,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False)
0,0,0.6404970760233918,0.6404970760233918,0.63,0.63,0.63,0.6270514795938524,0.6270514795938524,"[[17, 3, 1, 4], [9, 13, 0, 3], [1, 2, 21, 1], [7, 1, 5, 12]]",0.576271186440678,0.68,0.5,0.5909090909090909,0.52,0.6842105263157895,0.8076923076923077,0.84,0.7777777777777778,0.5333333333333332,0.48,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",LinearSVC(random_state=42)
0,0,0.6753168817313554,0.6753168817313554,0.6499999999999999,0.65,0.65,0.643793868498083,0.6437938684980828,"[[18, 0, 2, 5], [5, 15, 3, 2], [1, 0, 22, 2], [4, 1, 10, 10]]",0.6792452830188679,0.72,0.6428571428571429,0.7317073170731707,0.6,0.9375,0.7096774193548386,0.88,0.5945945945945946,0.45454545454545453,0.4,0.5263157894736842,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",RandomForestClassifier(random_state=42)
0,0,0.664655172413793,0.664655172413793,0.63,0.63,0.63,0.6218087693697449,0.6218087693697449,"[[19, 1, 1, 4], [11, 12, 1, 1], [1, 1, 22, 1], [9, 1, 5, 10]]",0.5846153846153846,0.76,0.475,0.6,0.48,0.8,0.8148148148148148,0.88,0.7586206896551724,0.48780487804878053,0.4,0.625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",LogisticRegression(random_state=42)
