,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier
0,0,0.6349673202614379,0.6349673202614379,0.67,0.67,0.67,0.6296217989388477,0.6296217989388478,"[[21, 1, 1, 2], [3, 21, 0, 1], [0, 2, 21, 2], [10, 6, 5, 4]]",0.711864406779661,0.84,0.6176470588235294,0.7636363636363636,0.84,0.7,0.8076923076923077,0.84,0.7777777777777778,0.23529411764705882,0.16,0.4444444444444444,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False)
0,0,0.667972958414135,0.667972958414135,0.6799999999999999,0.68,0.68,0.6553996009591487,0.6553996009591486,"[[18, 2, 2, 3], [4, 20, 0, 1], [1, 0, 23, 1], [5, 4, 9, 7]]",0.6792452830188679,0.72,0.6428571428571429,0.7843137254901961,0.8,0.7692307692307693,0.7796610169491526,0.92,0.6764705882352942,0.3783783783783784,0.28,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,0,0.6862327188940093,0.6862327188940093,0.68,0.68,0.68,0.677654400562522,0.677654400562522,"[[20, 0, 1, 4], [3, 21, 1, 0], [0, 0, 18, 7], [5, 0, 11, 9]]",0.7547169811320756,0.8,0.7142857142857143,0.9130434782608696,0.84,1.0,0.6428571428571428,0.72,0.5806451612903226,0.39999999999999997,0.36,0.45,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",RandomForestClassifier(random_state=42)
0,0,0.7328125,0.7328125,0.72,0.72,0.72,0.711339323919555,0.7113393239195551,"[[20, 1, 2, 2], [5, 18, 1, 1], [0, 0, 23, 2], [7, 1, 6, 11]]",0.7017543859649122,0.8,0.625,0.7999999999999999,0.72,0.9,0.8070175438596492,0.92,0.71875,0.5365853658536586,0.44,0.6875,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",LogisticRegression(random_state=42)
