,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier
0,0,0.6214246480363421,0.6232845610656705,0.6041666666666667,0.6020408163265306,0.6020408163265306,0.5840588477890383,0.5836438813075493,"[[15, 7, 1, 1], [4, 19, 0, 1], [2, 1, 20, 2], [16, 2, 2, 5]]",0.4918032786885246,0.625,0.40540540540540543,0.7169811320754716,0.7916666666666666,0.6551724137931034,0.8333333333333333,0.8,0.8695652173913043,0.29411764705882354,0.2,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False)
0,0,0.6314541142127349,0.6311674094925327,0.6325,0.6326530612244898,0.6326530612244898,0.6287392251586625,0.6286588065177762,"[[13, 3, 1, 7], [5, 17, 0, 2], [1, 0, 22, 2], [8, 1, 6, 10]]",0.5098039215686274,0.5416666666666666,0.48148148148148145,0.7555555555555556,0.7083333333333334,0.8095238095238095,0.8148148148148148,0.88,0.7586206896551724,0.43478260869565216,0.4,0.47619047619047616,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LinearSVC(random_state=42)
0,0,0.7255366161616161,0.7242643269428983,0.715,0.7142857142857143,0.7142857142857143,0.7067289026418418,0.7054761059196553,"[[16, 0, 3, 5], [3, 20, 1, 0], [1, 1, 23, 0], [4, 1, 9, 11]]",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.7540983606557377,0.92,0.6388888888888888,0.5365853658536586,0.44,0.6875,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",RandomForestClassifier(random_state=42)
0,0,0.6849867724867724,0.6844428247489471,0.68375,0.6836734693877551,0.6836734693877551,0.6796791443850267,0.6793311263899499,"[[14, 2, 2, 6], [4, 19, 0, 1], [0, 0, 23, 2], [9, 0, 5, 11]]",0.5490196078431373,0.5833333333333334,0.5185185185185185,0.8444444444444444,0.7916666666666666,0.9047619047619048,0.8363636363636363,0.92,0.7666666666666667,0.48888888888888893,0.44,0.55,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",LogisticRegression(random_state=42)
