,projectName,issue_count_for_project_x,issue_count_for_project_y,accuracy,precision_weighted_average,recall_weighted_average,f1_weighted_average
9,spring-framework,11,493,0.9513184584178499,0.9597687364153743,0.9513184584178499,0.9528905909933556
11,junit5,12,556,0.935251798561151,0.9623119924346154,0.935251798561151,0.9426280445439724
17,spring-security,20,895,0.88268156424581,0.8827595966028777,0.88268156424581,0.8734929847728794
18,redisson,25,1080,0.7898148148148149,0.8340554600563603,0.7898148148148149,0.8071937658105516
24,spring-session,15,817,0.7723378212974297,0.7753771644615677,0.7723378212974297,0.7728404501113472
32,ExoPlayer,12,546,0.7216117216117216,0.738149633175544,0.7216117216117216,0.725173561374209
39,netty,84,3720,0.7051075268817204,0.6689153378374281,0.7051075268817204,0.6832027052083839
41,async-http-client,14,646,0.6455108359133127,0.7155283854216894,0.6455108359133127,0.6605712159933659
42,hazelcast,16,728,0.6634615384615384,0.7074384029710492,0.6634615384615384,0.6584502749082809
47,elasticsearch,41,1868,0.6349036402569593,0.6528565744373794,0.6349036402569593,0.6404456907842266
50,spring-boot,35,1593,0.6038920276208412,0.686827545332367,0.6038920276208412,0.6013087055955727
60,checkstyle,14,646,0.5464396284829721,0.5641243633352148,0.5464396284829721,0.5244353718521546
64,n4js,12,549,0.48633879781420764,0.4580029899991214,0.48633879781420764,0.46239204337988987
