,Unnamed: 0,metric,alpha,lower,upper,mean,median,label
1,0,F1 macro average,95.0,57.16966060850495,68.47782368559113,0.6276450268890069,0.6261850861534226,SVM
1,0,F1 macro average,95.0,59.70317674852323,69.81657766875111,0.647304600427018,0.6463472663056815,SVM + a.r.
