,Unnamed: 0,metric,alpha,lower,upper,mean,median,label
1,0,F1 macro average,95.0,63.116314985334185,72.9970123109885,0.6841300760852933,0.6847928482923155,ENS1
1,0,F1 macro average,95.0,65.29658295368068,73.56022966524516,0.6912461419351514,0.6884979373098723,ENS2
1,0,F1 macro average,95.0,63.66293236250663,74.1419579215466,0.6858797301471599,0.6861382562684906,ENS5
1,0,F1 macro average,95.0,61.65383935341799,71.54448487302433,0.6574899580907574,0.6538313546721564,LR
1,0,F1 macro average,95.0,57.85708753055473,68.58904390284395,0.633075814114272,0.6347546893675211,MNB
1,0,F1 macro average,95.0,59.2912794326967,69.12423448010964,0.6429927423587345,0.6447259973511791,RF
1,0,F1 macro average,95.0,60.273934947208986,70.32027207746964,0.6520164292996945,0.6530739217243059,SVM
